AVA MAX;Sweet But Psycho;104
ALESSO;Remedy;102
DYNORO & GIGI D`AGOSTINO;In My Mind;99
JONAS BLUE feat. JACK & JACK;Rise;96
SOFIA REYES feat. JASON DERULO & DE LA GHETTO;1, 2, 3;93
CALVIN HARRIS & SAM SMITH;Promises;90
CALVIN HARRIS & DUA LIPA;One Kiss;89
CLEAN BANDIT feat. DEMI LOVATO;Solo;86
ROBIN SCHULZ feat. MARC SCIBILIA;Unforgettable;83
TIËSTO & DZEKO feat. PREME & POST MALONE;Jackie Chan;78
LOST FREQUENCIES & ZONDERLING;Crazy;76
RUDIMENTAL feat. JESS GLYNNE, MACKLEMORE & DAN CAPLEN;These Days;75
JAX JONES feat. INA WROLDSEN;Breathe;73
KONYHA;Százszor visszajátszott;68
NORA EN PURE;Tears In Your Eyes;66
ALLE FARBEN & YOUNOTUS & KELVIN JONES;Only Thing We Know;64
TOM WALKER;Leave A Light On;59
LOST FREQUENCIES feat. JAMES BLUNT;Melody;57
MAGNA CUM LAUDE;Mit ér?;56
LOST FREQUENCIES feat. THE NGHBRS;Like I Love You;52
OLÁH GERGŐ;Hozzád bújnék;48
PATIKADOMB;Nevet a Hold;47
MATOMA & ENRIQUE IGLESIAS;I Don`t Dance (Without You);44
ROBIN SCHULZ feat. ERIKA SIROLA;Speechless;39
ACOUSTIC PLANET;Nyári zápor;34
ELLIE GOULDING x DIPLO feat. SWAE LEE;Close To Me;30
LUIS FONSI & DEMI LOVATO;Échame La Culpa (Not On You);25
ARMIN VAN BUUREN;Blah Blah Blah;21
PÁPAI JOCI;Az én apám;16
OFENBACH vs. NICK WATERHOUSE;Katchi;13
LADY GAGA;Always Remember Us This Way;11
AVRIL LAVIGNE;Head Above Water;7
ALVARO SOLER;Puebla;4
LUKAS GRAHAM;Love Someone;2
DAVID GUETTA & SIA;Flames;1
NOMAD;A remény hídjai;1
NEW LEVEL EMPIRE;Megtörténtünk;1
FOLLOW THE FLOW;Anyám mondta;1
BENNY BLANCO & CALVIN HARRIS;I Found You;1
KYGO feat. SANDRO CAVAZZA;Happy Now;1
